time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
51651;22.33;8.64;32.02;1.016;-3.58;18.68;0
51657;32.24;17.39;59.82;2.158;-23.10;10.93;0
52104;17.88;9.15;34.23;0.657;4.13;17.20;0
52119;31.39;15.55;57.27;0.823;-5.35;30.62;0
52146;30.22;12.46;48.47;0.465;26.10;-14.13;0
52610;31.26;14.38;54.74;0.521;30.05;6.89;0
52622;32.14;14.25;55.79;0.826;-29.77;-11.35;0
52646;31.45;14.34;56.22;2.243;-30.25;-6.61;0
52652;31.01;13.42;53.71;0.298;16.23;-26.01;0
53108;28.92;13.10;53.60;0.579;27.01;3.58;0
53124;33.12;13.59;55.44;0.307;-6.82;-30.99;0
53128;31.71;12.84;55.47;0.349;8.37;-29.18;0
53148;32.45;14.33;58.80;0.226;-25.89;-18.25;0
53151;31.72;13.69;57.31;0.587;27.55;13.49;0
53601;31.59;15.51;60.08;1.196;-28.49;11.32;0
53616;33.62;15.54;62.30;0.256;-18.54;-26.74;0
53620;33.95;15.30;63.01;2.022;-30.63;-12.23;0
53637;32.84;14.45;58.82;0.553;31.97;3.04;0
53641;21.05;9.22;39.05;1.096;-19.08;8.12;0
54115;30.72;15.33;61.13;0.484;28.29;-10.75;0
54129;29.32;14.50;53.24;0.092;-14.66;-25.29;0
54133;30.40;15.50;57.20;1.019;-21.98;20.50;0
54154;29.55;19.72;65.30;0.772;19.70;20.72;0
54158;31.13;19.90;67.23;0.947;-15.33;26.00;0
54611;19.40;11.73;40.46;2.128;-10.38;11.44;0
54631;31.29;17.41;66.48;1.220;-25.19;16.40;0
54658;32.14;12.63;52.35;0.285;12.71;-29.15;0
54662;32.49;12.71;53.74;0.303;20.96;-24.53;0
55098;17.77;13.78;47.43;2.188;-11.88;-5.25;0
55130;17.96;11.22;36.40;1.435;-4.09;10.34;0
55154;20.85;13.61;42.01;1.014;-9.77;-11.79;0
55158;20.64;13.03;41.34;2.145;-14.10;5.43;0
55610;15.77;13.61;42.95;1.416;-3.49;14.28;0
55637;19.23;14.23;40.11;1.355;-2.10;-18.06;0
55664;18.60;11.45;36.06;2.752;-17.95;0.91;0
56101;21.69;9.94;39.85;0.824;4.89;-14.47;0
56114;21.26;9.24;33.84;1.871;-4.32;0.50;0
56147;29.93;15.84;61.62;1.218;1.07;18.31;0
